,tripReadId,partnerName,cargoTonnage,asset_type,loadedDate,source_region,destination_region,source,destination,goodType,asset_size,totalDistance,month,currency,amount
5070,TP1154444,SIF-LOGISTICS,42.2,Open,2021-08-11 17:09:00+00:00,south south,north east,CROSS RIVER,GOMBE,CLINKA,45.0,1086380.0,August,NGN,928400.0
5071,TP1154333,SIF-LOGISTICS,44.98,Open,2021-08-11 00:51:00+00:00,south south,north east,CROSS RIVER,GOMBE,CLINKA,40.0,1086380.0,August,NGN,989560.0
5072,TP1154945,OGS Foods Services,10.0,Open,2021-08-15 13:27:00+00:00,north west,south west,KADUNA,EKITI,BEVERAGES AND DRINKS,15.0,543297.0,August,NGN,150000.0
5073,TP1154942,OGS Foods Services,10.0,Open,2021-08-15 13:07:00+00:00,north west,north central,KADUNA,FEDERAL CAPITAL TERRITORY,BEVERAGES AND DRINKS,10.0,213260.0,August,NGN,94000.0
5074,TP1154445,SIF-LOGISTICS,47.8,Open,2021-08-11 17:14:00+00:00,south south,north east,CROSS RIVER,GOMBE,CLINKA,45.0,1086380.0,August,NGN,1051600.0
5075,TP1154549,SIF-LOGISTICS,41.58,Open,2021-08-12 12:25:00+00:00,south south,north east,CROSS RIVER,GOMBE,CLINKA,40.0,1086380.0,August,NGN,914760.0
5076,TP1154360,ALI KARAMI MINI TRANS,30.0,Open,2021-08-11 10:31:00+00:00,south west,north west,OGUN,KANO,PASTA,30.0,936731.0,August,NGN,550000.0
5077,TP1153992,Moor & Adewunmi,15.0,Covered,2021-08-09 06:08:00+00:00,south west,south west,LAGOS,OGUN,FLOUR,15.0,0.0,August,NGN,110000.0
5078,TP1154295,Pro Drivers Africa ,42.86,Open,2021-08-10 16:09:00+00:00,south south,north east,CROSS RIVER,GOMBE,CLINKA,40.0,1086380.0,August,NGN,942920.0
5079,TP1154294,Pro Drivers Africa ,42.34,Open,2021-08-10 16:08:00+00:00,south south,north east,CROSS RIVER,GOMBE,CLINKA,45.0,1086380.0,August,NGN,931480.0
5080,TP1154350,Pro Drivers Africa ,42.98,Open,2021-08-11 04:21:00+00:00,south south,north east,CROSS RIVER,GOMBE,CLINKA,40.0,1086380.0,August,NGN,945560.0
5081,TP1154845,Gbenguson International  Enterprise,30.0,Open,2021-08-14 10:51:00+00:00,south west,south west,LAGOS,LAGOS,FLOUR,30.0,1380.0,August,NGN,89241.0
5082,TP1154305,Adamani Kingston,30.0,Open,2021-08-10 19:43:00+00:00,north central,south west,KWARA,OGUN,POULTRY,30.0,1143498.0,August,NGN,170000.0
5083,TP1154706,PrimPro Global,40.0,Flatbed,2021-08-13 11:26:00+00:00,south west,south west,LAGOS,LAGOS,OTHERS,40.0,21317.0,August,NGN,300000.0
5084,TP1154932,RIBELO BUFAS ENTERPRISE,30.0,Open,2021-08-15 09:36:00+00:00,south west,south west,LAGOS,LAGOS,FLOUR,30.0,33520.0,August,NGN,159715.0
5085,TP1154101,Kesworld Logistics Enterprise,30.0,Open,2021-08-09 16:36:00+00:00,south west,south west,LAGOS,OGUN,SUGAR,30.0,35360.0,August,NGN,223253.0
5086,TP1154969,Gbenguson International  Enterprise,30.0,Open,2021-08-15 20:05:00+00:00,south west,south west,LAGOS,LAGOS,FLOUR,30.0,18601.0,August,NGN,132655.0
5087,TP1154772,Emaviv international services,12.0,Covered,2021-08-13 16:42:00+00:00,south west,south west,OGUN,EKITI,WINE AND SPIRIT,15.0,0.0,August,NGN,178500.0
5088,TP1154504,LESUMAN TRANSPORT,35.0,Open,2021-08-12 06:48:00+00:00,south south,south west,RIVERS,LAGOS,AGROCHEMICAL PRODUCTS,35.0,0.0,August,NGN,455000.0
5089,TP1154971,RIBELO BUFAS ENTERPRISE,30.0,Open,2021-08-15 20:43:00+00:00,south west,south west,LAGOS,LAGOS,FLOUR,30.0,13050.0,August,NGN,95271.0
5090,TP1154082,PrimPro Global,40.0,Flatbed,2021-08-09 13:50:00+00:00,south west,south west,LAGOS,LAGOS,OTHERS,40.0,15468.0,August,NGN,300000.0
5091,TP1154081,PrimPro Global,40.0,Flatbed,2021-08-09 13:50:00+00:00,south west,south west,LAGOS,LAGOS,OTHERS,40.0,15468.0,August,NGN,300000.0
5092,TP1154722,PrimPro Global,40.0,Flatbed,2021-08-13 12:53:00+00:00,south west,south west,LAGOS,LAGOS,OTHERS,40.0,22950.0,August,NGN,300000.0
5093,TP1154072,PrimPro Global,40.0,Flatbed,2021-08-09 12:22:00+00:00,south west,south west,LAGOS,LAGOS,OTHERS,40.0,0.0,August,NGN,300000.0
5094,TP1154096,PrimPro Global,40.0,Flatbed,2021-08-09 15:27:00+00:00,south west,south west,LAGOS,LAGOS,OTHERS,40.0,15468.0,August,NGN,300000.0
5095,TP1154795,Swiftlane Business Enterprise,20.0,Covered,2021-08-13 17:22:00+00:00,south west,south west,OGUN,EKITI,DETERGENT,20.0,354242.0,August,NGN,175947.4
5096,TP1154432,Bagades Solution Enterprise,15.0,Covered,2021-08-11 16:06:00+00:00,south west,south south,LAGOS,DELTA,VEGETABLE OIL,15.0,403163.0,August,NGN,258553.57
5097,TP1153938,T SPLENDOR EMPORIUM LIMITED ,40.0,Flatbed,2021-08-08 14:22:00+00:00,south east,south west,ABIA,OGUN,OTHERS,40.0,543223.0,August,NGN,280000.0
5098,TP1153829,T SPLENDOR EMPORIUM LIMITED ,40.0,Flatbed,2021-08-07 09:24:00+00:00,south east,south west,ABIA,OGUN,OTHERS,40.0,543223.0,August,NGN,280000.0
